Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks,modularity_class,Authority,Hub,clustering,level,tag,anomaly,fr,fg,location,bio,nation,weight,occup,categ,statu
Dr_alwasmi,Dr_alwasmi,,264,0,264,0,0,0,0,0.324799,0.000308,0,0.052216,0,0.010266,,,0.455834,1095787,1287,Kuwait,,,,,,
al_tariq2009,al_tariq2009,,131,0,131,0,0,0,0,0.2499,0.000299,0,0.046867,0,0.01829,,,1.125026,57485,704,kuwait,إن كان للحرية ثمن .. فهو الحرية altariq2009@gmail.com / snap : altariq.2009,کویتی,,,,
spagov,spagov,,172,0,172,0,0,0,0,0.17459,0.000303,0,0.034604,0,0.006596,,,,,,,,,,,,
ajmurgent,ajmurgent,,92,0,92,0,0,0,0,0.138236,0.000295,30,0.014492,0,0.005739,,,0.27238,761616,7,,Official Al Jazeera Mubahser News account آخر وأهم الأخبار تتابعونها عبر هذا الحساب .. كما يمكنكم متابعة حساب الجزيرة مباشر @ajmubasher,,,,,
AbdullahElshrif,AbdullahElshrif,,430,0,430,0,0,0,0,0.440242,0.000335,0,0.076055,0,0.007918,,,0.474922,1423431,112,لَا أَبْرَحُ حَتَّىٰ أَبْلُغَ,إذا ضَربت فأوجِع فإن العاقبةَ واحدة,,,,,
alqaradawy,alqaradawy,,371,0,371,0,0,0,0,0.364445,0.00032,30,0.040795,0,0.004666,,,0.233684,3180032,3,قطر,الحساب الرسمي للشيخ يوسف القرضاوي رئيس الاتحاد العالمي لعلماء المسلمين,مصری,,,,
TareqAlSuwaidan,TareqAlSuwaidan,,457,0,457,0,0,0,0,0.370667,0.000306,100,0.023151,0,0.002048,,,0.092952,9970454,21,Kuwait,مؤسس مشروع عمران لنهضة الأمة باحث ومفكر وداعية إسلامي، مدرب محترف في مجالات الإدارة والقيادة، رئيس مجلس إدارة مجموعة شركات الإبداع,کویتی,,,,
TawakkolKarman,TawakkolKarman,,133,0,133,0,0,0,0,0.256377,0.000316,0,0.028931,0,0.010628,,,0.285837,1211651,648,Yemen,NOBEL PEACE PRIZE LAUREATE. Facebook Oversight Board. All Views are my own   ولابد لليل أن ينجلي .. ولابد للقيد أن ينكسر tawakkol@tawakkolkarman.net,,,,,
Ali_AlQaradaghi,Ali_AlQaradaghi,,154,0,154,0,0,0,0,0.205958,0.000301,30,0.029105,0,0.012728,,,0.598681,401273,45,العالم الإسلامي,"‏‏‏‏‏الأمين العام للاتحاد العالمي لعلماء المسلمين
فيسبوك: https://t.co/3tMF2udhhp",,,,,
osgaweesh,osgaweesh,,76,0,76,0,0,0,0,0.122409,0.000291,0,0.013162,0,0.013153,,,0.346374,465836,2883,"London, England","Editor-in-Chief of Egypt Watch, TV Presenter , Journalist , Refugee and Dentist",,,,,
tahagnc,tahagnc,,101,0,101,0,0,0,0,0.125761,0.000293,30,0.008922,0,0.00697,,,0.500812,245590,617,snapchat  : tahagenc,"#طه_كينتش #طه_التركي تركي الجنسيه اسطنبولي المولد  . . انستقرام:tahagnc",,,,,
hrw_ar,hrw_ar,,165,0,165,0,0,0,0,0.338947,0.000324,0,0.05784,0,0.018557,,,0.488704,914266,904,New York,توفر هيومن رايتس ووتش معلومات موثقة عن أزمات وتطورات حقوق الإنسان في أكثر من 90 دولة حول العالم. الصفحة الرسمية باللغة العربية.,,,,,
alaraby_ar,alaraby_ar,,144,0,144,0,0,0,0,0.246196,0.000303,30,0.031353,0,0.013086,,,0.289572,1437403,151,,أهم الأخبار العربية والعالمية، تحليلات وتحقيقات صحافية ومقالات,,,,,
AFPar,AFPar,,54,0,54,0,0,0,0,0.130556,0.000293,0,0.018913,0,0.019231,,,0.300478,715173,561,,أخبار وتقارير مختارة من خدمات وكالة فرانس برس حول العالم. يمكنكم متابعتنا عبر حسابات أخرى https://t.co/4pIm8k2HLC وعبر فيسبوك https://t.co/gAQ85YLefQ,,,,,
Benguennak,Benguennak,,231,0,231,0,0,0,0,0.290211,0.000317,0,0.041328,0,0.01017,,,0.313248,1721257,1565,,إعلامية عربية بقناة #الجزيرة صنفتها #Forbes عام 2006 من النساءالعشر الأكثر تأثيرا في العالم العربي، وفازت في استفتاء #CNN عام 2015 بلقب إعلامية العرب الملهم,,,,,
DrHamami,DrHamami,,170,0,170,0,0,0,0,0.158358,0.000307,30,0.02578,0,0.008737,,,0.573702,317703,28,London - UK,"إعادة التغريدات لا يعني الموافقة على المحتوى رأيي يعبر عني فقط ولا يمثل أحد
..Tweets mine
..RT's yours
..RT ≠ endorsement",,,,,
zeintawfik,zeintawfik,,77,0,77,0,0,0,0,0.197868,0.000299,30,0.026458,0,0.020541,,,0.413117,534505,2903,,زين العابدين توفيق - مذيع في قناة الجزيرة - إعادة التغريد لا تعني الموافقة. مساحتي الشخصية لا تمثل أحدا غيري. Presenter at Aljazeera TV. retweet not endorsement,,,,,
NacirAbdessamad,NacirAbdessamad,,57,0,57,0,0,0,0,0.100532,0.000292,30,0.004384,0,0.014286,,,0.423542,236792,858,,صحافي مغربي /مقدم أخبار وبرامج في قناة الجزيرة منذ ماي1997. مذيع رئيسي.ما يرد هنا يمثلني فقط ولا يمثل المؤسسة التي أعمل فيها وإعادة التغريد لا تعني الموافقة,,,,,
Ahmadmuaffaq,Ahmadmuaffaq,,179,0,179,0,0,0,0,0.257873,0.000301,30,0.015662,0,0.006356,,,0.583476,303577,816,"Doha, Qatar",أحمد موفق زيدان ـ كاتب وصحفي سوري ،وما أكتبه هنا يمثلني شخصيا و لا يمثل الجهة التي أعمل فيها - My opinions here are my own and do not represent my employers,سوري,,,,
majedabdulhadi,majedabdulhadi,,116,0,116,0,0,0,0,0.212107,0.000301,30,0.01425,0,0.015836,,,0.810873,164475,814,"London, England & Doha, Qatar",Columnist & TV reporter| صحافي، مراسل تلفزيوني، وكاتب سياسي| عشرون عاماً في قناة #الجزيرة @AJArabic,,,,,
ayfaraho,ayfaraho,,138,0,138,0,0,0,0,0.23576,0.000298,30,0.028033,0,0.011601,,,0.559648,380458,3509,,"Osman Ayfarah, Eritrean, Aljazeera - Principal Presenter. My tweets represent ONLY me مذيع رئيسي في الجزيرة..هنا أمثلني و لا أمثلها..إرتري..لندني",,,,,
A3M_MORSY,A3M_MORSY,,69,0,69,0,0,0,0,0.103033,0.000289,30,0.006362,0,0.010316,,,0.469645,169832,199,"Cairo , Egypt","النجل الأكبر للرئيس،شرف أن تحمل إسم الرئيس الشهيد #محمد_مرسي أول رئيس مدني منتخب لجمهورية مصر العربية 🇪🇬  طبيب ""مواليد USA""(إعادة التغريد لا يعنى تبنى الآراء)",,,,,
turkistantuzbah,turkistantuzbah,,111,0,111,0,0,0,0,0.113039,0.000296,0,0.024823,0,0.011009,,,0.805023,80385,179,,"حساب يهتم بقضايا الأقليات المسلمة
ننقل ما يحدث داخل #تركستان_الشرقية_المحتلة من #الصين منذ 1949
نتابع قضايا المسلمين في العالم
#كشمير
#الروهينغا
#مسلمو_الهند",,,,,
MhamedKrichen,MhamedKrichen,,102,0,102,0,0,0,0,0.102446,0.000301,30,0.020519,0,0.007723,,,0.524422,268007,644,,"على شاشة ""الجزيرة"" منذ تأسيسها 1996
 مقدم برنامج ""سيناريوهات"" 
Aljazeera TV Anchor
 CPJ Board Member since 2011",,,,,
rdooan,rdooan,,139,255,394,8,0.267037,0.296917,178999.90468,0.181668,0.000292,30,0.015468,0.084581,0.033358,,,0.51707,234712,259,,كاتب فلسطيني,,,,,
Dr_EyadQun,Dr_EyadQun,,236,0,236,0,0,0,0,0.185364,0.0003,109,0.027355,0,0.00494,,,0.605795,318229,146,,"أريد للناس أن يحبوا الله ورسوله ويعتزوا بدينهم 
وينصروا الشريعة ويتخلصوا من الشبهات والتمييع",,,,,
DiwanLondon,DiwanLondon,,188,0,188,0,0,0,0,0.280395,0.000322,0,0.068004,0,0.028003,,,1.320273,27716,9,"London, England",نافذة حرة لحوار حر | أحد مشاريع حركة #المقسطون #ديوان_لندن: إعلام يدير ويتفاعل مع النقاشات السياسية.  https://t.co/Sn40AQoEnd,,,,,
933556606,bbcarabicalerts,,142,0,142,0,0,0,0,0.17167,0.000301,0,0.03152,0,0.010942,,,,,,,,,,,,
ahjh_althani,ahjh_althani,,44,0,44,0,0,0,0,0.112369,0.000297,30,0.008861,0,0.022148,,,0.636791,169229,209,"Doha, State of Qatar",الرئيس التنفيذي للمؤسسة القطرية للإعلام.. CEO of Qatar Media Corporation,,,,,
docshayji,docshayji,,182,0,182,0,0,0,0,0.245494,0.000302,30,0.038942,0,0.011453,,,0.996274,187608,478,Prof. Abdullah AlShayji-Kuwait,Era of power of Influence not Era of Influence of Power XChairman/ https://t.co/PY2YCEfEWf.-Kuwait University -Author-Columnist-Yᵒᵘ Oᶰˡʸ Lᶤᵛᵉ Oᶰᶜᵉ RT&Likes≠endorsemen,,,,,
Alshamsi789,Alshamsi789,,209,620,829,7,0.297189,0.335431,1115824.380845,0.277549,0.00031,6,0.047164,0.169172,0.016858,,,0.953593,72737,630,الإمارات - اسطنبول,"""رب بما أنعمت علي فلن أكون ظهيرا للمجرمين"" ""مشيناها خطى كتبت علينا.. ومن كتبت عليه خطى مشاها"" ..",,,,,
shaheensulaiti,shaheensulaiti,,54,0,54,0,0,0,0,0.095397,0.000288,0,0.009895,0,0.014514,,,0.618766,103329,892,قطر,"آرائي تمثلني وحدي وشعاري ،، الله ,الوطن , الأمير ،،، وكل من يسب او يقل أدبه بلوك على وجهه",,,,,
SaudiReformers,SaudiReformers,,98,70,168,7,0.295565,0.321056,72277.091758,0.164881,0.000303,0,0.045176,0.085364,0.112936,,,1.263772,14978,76,المملكة العربية السعودية,"حسابٌ يُعرِّف بالإصلاحيين السعوديين ويُبرز دورهم في خدمة وطنهم وأمتهم
https://t.co/dNca1pf39j",,,,,
Ahmad_Alyehri,Ahmad_Alyehri,,139,0,139,0,0,0,0,0.17354,0.000307,0,0.046953,0,0.019497,,,1.141861,84698,684,"Doha, Qatar",,,,,,
adhamsharkawi,adhamsharkawi,,272,0,272,0,0,0,0,0.328509,0.000304,109,0.034541,0,0.004314,,,0.45452,788954,301,القدس بيتي وبقيّة الأرض فندق !,يا الله : ناصِيَتي بِيَدِكَ ... ماضٍ فيَّ حُكْمُكَ ... عدلٌ فيَّ قضَاؤُكَ ❤ مقولة اليوم مقتبسة,,,,,
Altabtabie,Altabtabie,,198,0,198,0,0,0,0,0.296849,0.000311,100,0.019856,0,0.007378,,,0.414166,859533,1935,Kuwait,.. من الكويت بلاد العرب و الإسلام والعالم الحر الحساب الرسمي للنائب السابق د. وليد الطبطبائي,,,,,
nasser_duwailah,nasser_duwailah,,310,0,310,0,0,0,0,0.436962,0.000317,0,0.058424,0,0.009268,,,0.636429,612634,3741,kuwait,‏‏محامي كويتي تخرج من الكليه العسكرية عام 1980 و حصل على ليسانس الحقوق و الشريعة عام 82 و عمل كضابط دروع و مستشار لوزير الدفاع اصبح عضو مجلس امه 2008 مؤلف عدة ك,,,,,
TamerMisshal,TamerMisshal,,174,0,174,0,0,0,0,0.186983,0.000305,0,0.044693,0,0.011527,,,0.651273,382302,121,فلسطين,مقدم ومعد برنامج #ما_خفي_أعظم على شاشة #الجزيرة .. فلسطيني الهوى والهوية,,,,,
khaledabushadi,khaledabushadi,,69,0,69,0,0,0,0,0.098224,0.00029,30,0.002796,0,0.007024,,,0.293575,345039,264,Egypt,استكمالا لمسيرته سننشر بعض وصاياه.,,,,,
FadelSoliman,FadelSoliman,,132,0,132,0,0,0,0,0.252118,0.000295,30,0.014696,0,0.007752,,,0.424745,471396,1380,International,"فاضل سليمان Muslim lecturer, orator, author, film maker https://t.co/nyVFG76YNO https://t.co/EfootZv0lT",,,,,
KhaledSafi,KhaledSafi,,38,0,38,0,0,0,0,0.097534,0.000294,30,0.016303,0,0.025605,,,0.369881,111862,12796,Palestine - Gaza غزة فلسطين,غير مستعد أن أموت من أجل أفكاري لأنها قد تكون خاطئة ولكني مستعد للموت من أجل إسلامي لأني موقن أنه على حق Digital Media Expert from #Gaza,,,,,
fatimaalwahsh,fatimaalwahsh,,73,0,73,0,0,0,0,0.179637,0.000311,0,0.043063,0,0.043036,,,0.54927,179235,33603,اكاديمية تربوية،،حرة #امتي,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏لا تقتلوا اسود بلادكم فتأكلكم كلاب اعدائكم
‎‎#فلسطينيات ‎‎‎‎‎‎#بيت_المقدس_رؤيتي_وبلاد_الحرمين_عشقي",,,,,
essamt74,essamt74,,76,0,76,0,0,0,0,0.157573,0.000295,30,0.009268,0,0.013514,,,0.309189,464542,2351,,,,,,,
alestiklal_Gulf,alestiklal_Gulf,,162,0,162,0,0,0,0,0.254551,0.00031,0,0.05347,0,0.023835,,,1.212149,69563,2,الوطن العربي,صحيفة الاستقلال.. حساب خاص بالخليج العربي- الحساب الرئيسي @alestiklal,,,,,
alamlmediatv,alamlmediatv,,34,0,34,0,0,0,0,0.080705,0.000304,0,0.028095,0,0.073864,,,2.026559,8133,0,,•منصة إعلامية مُستقلة •منحازة للحقيقة •قضايا الربيع العربي محور اهتمامنا •نقدم الإعلام بطريقة مختلفة..,,,,,
mohamedzitout,mohamedzitout,,122,0,122,0,0,0,0,0.178361,0.00031,0,0.033965,0,0.018388,,,0.768213,208089,732,"London, England",ناشط سياسي وحقوقي ودبلوماسي سابق. أحد مؤسسي حركة رشاد وعضو أمانتها من أجل تغيير لاعنفي شامل في الجزائر والمنطقة العربية إن معركتنا الأولى هي #معركة_تحرير_الوعي,,,,,
adham922,adham922,,138,0,138,0,0,0,0,0.267241,0.000312,0,0.055167,0,0.02179,,,0.832936,231406,5429,Palestine,فلسطيني الهوى والهوية ـ من الجورة المحتلة، طالب دكتوراه في العلاقات الدولية - جامعة مرمرة - أعمل في مجال الإغاثة والعمل الخيري.,,,,,
MohamdNashwan,MohamdNashwan,,166,0,166,0,0,0,0,0.157117,0.000297,0,0.03723,0,0.008297,,,0.477462,294173,17769,غزة,من #غزة هاشم،انتمائي لله ثم للوطن ثم لأحبائي ،مهتم بنشر قضيتي وأخبارها ومهتم بالتقنية و المحتوى العربي ومهتم بالعمل الخيري والإغاثي - للتواصل https://t.co/GbM3Uqt3Fx,,,,,
mtqln,mtqln,,190,0,190,0,0,0,0,0.284045,0.000323,0,0.067846,0,0.026678,,,1.231624,71277,67,,"هذا صوتُ النخب الوطنية المعتقلة، والمختطفة قسراً.
نعرّف هنا بإنجازاتهم التي تستحق التكريم لا السجن
البودكاست @mtqlon
الانستقرام https://t.co/RNYtp6dB6B",,,,,
alhiwarchannel,alhiwarchannel,,98,0,98,0,0,0,0,0.142277,0.000299,0,0.02741,0,0.025142,,,1.116835,105838,0,London UK,قناة الحوار هي خدمة إعلامية عربية تسعى للمساهمة في بناء غد أفضل للمجتمعات العربية... وهي صوتٌ للعرب في المهجر وجسر للتواصل بين العرب وبقية الشعوب والثقافات,,,,,
OsamaRushdi,OsamaRushdi,,39,0,39,0,0,0,0,0.121718,0.000295,30,0.013704,0,0.046942,,,0.65589,217795,1230,Cairo / London,‏‏‏سياسي وحقوقي مصري.عضو المجلس القومي لحقوق الانسان السابق - مصر. لامستقبل للاستبداد والفاشية العسكرية في بلادنا. فقد خلقنا الله احرارا وسنحيا كراما,,,,,
Abou_Yaareb,Abou_Yaareb,,71,0,71,0,0,0,0,0.106558,0.000298,30,0.010082,0,0.006418,,,0.632021,31794,947,تونس - منزل بورقيبة - بنزرت,‏أبو يعرب المرزوقي-الحساب الرسمي |المشرف نزار يعرب أبو مراس الحبيب المرزوقي |  https://t.co/HWBcmgiebS‎ |  https://t.co/4WS8aOgf66‎ |  https://t.co/VWCLb8BoMe‎,تونس,,,,
ShaikhDadow,ShaikhDadow,,235,0,235,0,0,0,0,0.248702,0.000307,30,0.030439,0,0.005656,,,0.652014,247447,21,Mauritania,"رئيس مركز تكوين العلماء   
 https://t.co/Op72ojXB9I 
موقع فضيلة الشيخ :  
https://t.co/d1TOT5fNL2
https://t.co/DKOS1ZWt2A
https://t.co/zTN1rY394Y",,,,,
WeRecordAR,WeRecordAR,,41,0,41,0,0,0,0,0.173217,0.000297,0,0.028993,0,0.055331,,,1.409824,38341,1,"Brussels, Belgium","""نحن نسجل"" منظمة حقوقية دولية تهتم بجمع البيانات وتوثيق الانتهاكات عبر التفاعل مع الضحايا والنشطاء ومؤسسات المجتمع المدني.",,,,,
arahmanyusuf,arahmanyusuf,,70,0,70,0,0,0,0,0.240789,0.000309,30,0.028735,0,0.023066,,,0.336225,788011,378,"Cairo, Egypt",,,,,,
Dr_Utaybi,Dr_Utaybi,,97,403,500,7,0.31794,0.351232,487948.045967,0.190216,0.000317,0,0.045835,0.20738,0.029365,,,1.450551,30298,417,بلادالحرمين الشريفين,الكلمة مسؤولية وأمانة,عربستاني,,,,
AfghanAffairs7,AfghanAffairs7,,72,0,72,0,0,0,0,0.091222,0.000294,0,0.02046,0,0.015292,,,0.942357,52538,193,,باحث في الشأن الأفغاني وما يتعلق بشؤون أفغانستان السياسية والعسكرية والاقتصادية والاجتماعية والتاريخية والثقافية #أفغانستان #شؤون_أفغانية #طالبان,,,,,
thenewkhaleej,thenewkhaleej,,126,0,126,0,0,0,0,0.135317,0.000302,0,0.027447,0,0.014873,,,0.799077,186542,3,,رواية أخرى عن السياسة والإنسان في الخليج والعالم العربي. info@thenewkhalij.org,,,,,
SaharAlFaifi,SaharAlFaifi,,105,0,105,0,0,0,0,0.217562,0.000323,0,0.05436,0,0.04817,,,1.544,14822,831,Cymru,"Unapologetic Muslim woman, Arab, Welsh, Anti-racism campaigner, community organiser and Human Rights Activist",,,,,
alsab3aani,alsab3aani,,120,0,120,0,0,0,0,0.115817,0.000298,0,0.030888,0,0.018978,,,1.007929,36750,47,SVERIGE,"ملاحظة: ممنوع دخول الإخونجي والسيسنجي ومرحى بالأحرار
القدس هي أولى القبلتين وثالث الحرمين الشريفين فخسئتم يامراخنة
جميع الكتب تسوق على موقع https://t.co/J9XklbaZdZ",,,,,
AhmedElbaqry,AhmedElbaqry,,77,0,77,0,0,0,0,0.178623,0.000292,0,0.018078,0,0.023964,,,0.523832,314264,698,,Ex-Vice President of the Students Union of #Egypt-tweets are personal views - Journalist // نائب رئيس اتحاد طلاب #مصر ورئيس اتحاد طلاب #الأزهر السابق -صحفي.,,,,,
islahvideo,islahvideo,,100,0,100,0,0,0,0,0.089456,0.000311,0,0.022651,0,0.018283,,,0.992591,21845,3,"London, England","هنا تنشر مقاطع فيديو الدكتور سعد الفقيه رئيس الحركة الإسلامية للإصلاح.

لدعم نشاطات الحركة الإعلامية:
https://t.co/eZ3P7IpzSl
----------------------------",,,,,
ama4425,ama4425,,105,0,105,0,0,0,0,0.114937,0.000301,0,0.032628,0,0.019414,,,1.047811,70840,19,,تم وقف الرسائل لهذا الحساب للتواصل @2_ama4425 أو تيليجرام ama4425@,,,,,
elmasrw,elmasrw,,88,0,88,0,0,0,0,0.094583,0.000294,30,0.005193,0,0.008821,,,0.18257,1083934,26,,أستاذ الحديث بجامعة الأزهر ورئيس لجنة مراجعة المصحف وشيخ عموم مقارئ الديار المصرية سابقاً.  https://t.co/7gMtILZYOf,,,,,
Ma6noo5sa,Ma6noo5sa,,113,0,113,0,0,0,0,0.209157,0.000313,0,0.053205,0,0.04416,,,1.511962,22092,102,السعودية,"شيلات وقصايد..
في عزّ شدتها قلبناها ترفْ

https://t.co/6GV4bO5i5I",,,,,
hazam_ksa,hazam_ksa,,133,0,133,0,0,0,0,0.144125,0.000303,0,0.036032,0,0.02005,,,1.013025,98653,0,"London, England",دكتور شؤون دوليه ومختص بالشأن السياسي ،، باحث في التاريخ العربي والخليجي ،، مستشار سياسي,عربستانی,,,,
BreakingF24_ar,BreakingF24_ar,,27,0,27,0,0,0,0,0.092209,0.000292,0,0.010643,0,0.032308,,,,,,,,,,,,
khaled_f_alsaud,khaled_f_alsaud,,169,0,169,0,0,0,0,0.253716,0.000322,0,0.05717,0,0.029869,,,1.243744,59421,104,حركة الحرية ، المانيا,للمراسلة khaled.f.alsaud@gmail.com,,,,,
drhussahmm,drhussahmm,,193,0,193,0,0,0,0,0.324408,0.000344,0,0.080734,0,0.038531,,,1.450254,24465,650,Sverige,ناشطة حقوقية مقيمة في #السويد ‏ https://t.co/fJ8WX2ZNIh,,,,,
abdulaziztarefe,abdulaziztarefe,,484,0,484,0,0,0,0,0.454446,0.000314,109,0.042866,0,0.003464,,,0.516025,1042194,7,,,عربستانی,,,,
zedniy,zedniy,,79,0,79,0,0,0,0,0.079796,0.000295,0,0.01514,0,0.005495,,,0.38586,334183,9,,قناة غير رسمية تُعنى بنشر فوائد ودروس وفتاوى الشيخ عبدالعزيز الطريفي .. يديرها مجموعة من الباحثين (المتطوعين) ~نحب الشيخ ولا نمثله~,,,,,
musleh_alalyani,musleh_alalyani,,106,0,106,0,0,0,0,0.137248,0.0003,0,0.028851,0,0.019414,,,1.124648,31258,102,,✨ إسمَعْ وَ أنتَ الحَكَم 👇🏻,,,,,
wain2030,wain2030,,47,0,47,0,0,0,0,0.094241,0.0003,0,0.030334,0,0.080481,,,2.071929,19212,64,المملكة العربية السعودية,"نافذة على الوضع الاقتصادي لبلادنا وكل ما يمس احتياجات المواطن
#الراتب_مايكفي_الحاجه",,,,,
MarzoqMashan_,MarzoqMashan_,,125,0,125,0,0,0,0,0.203737,0.000309,0,0.052346,0,0.039274,,,1.144757,13396,1119,,"""أَنَا غَضْبَانٌ وثَائر!"". #قفل_بابك",,,,,
TAFRIT_KSA,TAFRIT_KSA,,126,0,126,0,0,0,0,0.144058,0.000312,0,0.042721,0,0.026372,,,1.150944,59721,48,Kingdom of Saudi Arabia,"حساب فيديو (ساخر Parody) يفضح أنشطة هيئة الترفيه وفعالياتها. 
حسابي الاحتياطي: @KSA_TAFRIT 
قناتي على يوتيوب: https://t.co/ZMvCnirlxg…",,,,,
Politic_Star,Politic_Star,,82,194,276,8,0.292099,0.324885,150058.880588,0.07979,0.000309,0,0.031948,0.133579,0.060343,,,1.045614,35344,203,,نجمٌ .. يستشرف العواقب ببصيرة ثاقب thaaaqib@gmail.com قناة تلغرام https://t.co/QDTD916Zqn,,,,,
jhelles,jhelles,,137,0,137,0,0,0,0,0.123763,0.000297,30,0.02731,0,0.008426,,,0.697746,169903,192,(غزة / فلسطين),"‏‏‏‏‏‏‏‏كاتب وباحث في قضايا الأمة, مهندس، الجسد في غزة, والقلب في القدس, والروح في مكة! مدير صندوق زكاة غزة",,,,,
sheikh1932,sheikh1932,,69,0,69,0,0,0,0,0.090525,0.000293,0,0.019951,0,0.030509,,,1.163342,18626,23,بلاد الحرمين,السعادة الحقيقية هي الحياة تحت ظل القران و السنة,,,,,
huthaifaabdulah,huthaifaabdulah,,163,0,163,0,0,0,0,0.286527,0.000308,0,0.054194,0,0.014505,,,1.235696,145005,5805,"محافظة عمان, المملكة الأردنية",,,,,,
CyberkovCEO,CyberkovCEO,,191,0,191,0,0,0,0,0.220864,0.000302,100,0.032126,0,0.009774,,,0.709135,362601,443,Kuwait,"CEO of Cyberkov | A Professional Cybersecurity Firm. الرئيس التنفيذي لشركة سايبركوف للأمن الإلكتروني | محقق وخبير بأمن المعلومات.

Сиберков Генеральный Директор",,,,,
Jarrar2022,Jarrar2022,,128,0,128,0,0,0,0,0.108177,0.000296,0,0.02114,0,0.008551,,,0.798802,68996,0,البيرة - فلسطين,تفسير القرآن الكريم والإعجاز العددي في القرآن الكريم,,,,,
2013_mokhtar,2013_mokhtar,,33,0,33,0,0,0,0,0.111039,0.000293,0,0.019207,0,0.055444,,,1.454724,3288,372,,شقيقة الدكتور سعود مختار الهاشمي - فكَ الله أسره -,,,,,
MbsMeToo,MbsMeToo,,124,69,193,8,0.270898,0.295337,60656.680419,0.209913,0.00031,0,0.051975,0.066086,0.089,,,1.370983,27082,73,everywhere,شباب داخل وخارج السعودية أقلقنا حال الوطن؛ قررنا نجمع شتات الأقلام والفكر لنطالب بالعدالة والحقوق. منصة للجميع.,,,,,
Obaidallah_90,Obaidallah_90,,59,124,183,7,0.289778,0.315798,95366.929541,0.083188,0.000296,0,0.0267,0.106072,0.073191,,,1.415489,6259,136,,وما رميتَ إذ رميتَ ولكنّ الله رمى.,عربستانی,,,,
istanbulli1453,istanbulli1453,,167,0,167,0,0,0,0,0.14925,0.000296,0,0.030435,0,0.010966,,,0.74972,195395,183,"İstanbul, Türkiye","‏ حساب فيديو تركي متخصص في كشف المؤامرات ضد الدولة التركية.

بإمكانكم متابعتنا عبر جميع منصات التواصل الاجتماعي المختلفة المتواجدة في المنشور المثبت.",,,,,
amer_alkubaisi,amer_alkubaisi,,61,0,61,0,0,0,0,0.147976,0.000291,30,0.003849,0,0.004676,,,1.322984,146955,1099,,طالب دكتوراه، مؤلف 8 كتب مطبوعة🗞مهتم بالسياسة العراقية والشرق الأوسط، يحاول دعم الشباب في التعليم الجامعي والمشاريع الاقتصادية,,,,,
khanfarw,khanfarw,,190,0,190,0,0,0,0,0.278251,0.000309,30,0.029219,0,0.007253,,,0.196254,2437191,847,,"President and co-founder of Al Sharq Forum & Chairman of Common Action Forum, Former Director-General of the Al Jazeera Network.",,,,,
